date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-05-12T19:00:00Z,33,Clermont Foot,Olympique Lyon,0,1,0,0,1,Olympique Lyon,Clermont Foot,Pierre Gaillouste
2024-05-12T19:00:00Z,33,Nantes,Lille,1,2,0,2,1,Lille,Nantes,Eric Wattellier
2024-05-12T19:00:00Z,33,Montpellier,Monaco,0,2,0,0,2,Monaco,Montpellier,Stéphanie Frappart
2024-05-12T19:00:00Z,33,Marseille,Lorient,3,1,2,1,2,Marseille,Lorient,Bastien Dechepy
2024-05-12T19:00:00Z,33,PSG,Toulouse,1,3,1,1,2,Toulouse,PSG,Florent Batta
2024-05-12T19:00:00Z,33,Strasbourg,FC Metz,2,1,0,0,1,Strasbourg,FC Metz,François Letexier
2024-05-12T19:00:00Z,33,Stade Rennais,RC Lens,1,1,0,0,0,DRAW,DRAW,Benoît Millot
2024-05-15T19:00:00Z,32,Nice,PSG,1,2,1,2,1,PSG,Nice,Ruddy Buquet
2024-05-15T19:00:00Z,32,Stade de Reims,Marseille,1,0,1,0,1,Stade de Reims,Marseille,Hakim Ben El Hadj Salem
2024-05-19T19:00:00Z,34,Le Havre,Marseille,1,2,0,0,1,Marseille,Le Havre,Jeremy Stinat
2024-05-19T19:00:00Z,34,Monaco,Nantes,4,0,3,0,4,Monaco,Nantes,Romain Lissorgue
2024-05-19T19:00:00Z,34,Lorient,Clermont Foot,5,0,2,0,5,Lorient,Clermont Foot,Clément Turpin
2024-05-19T19:00:00Z,34,FC Metz,PSG,0,2,0,2,2,PSG,FC Metz,Gaël Angoula
2024-05-19T19:00:00Z,34,Toulouse,Brest,0,3,0,0,3,Brest,Toulouse,Jérémie Pignard
2024-05-19T19:00:00Z,34,Olympique Lyon,Strasbourg,2,1,1,0,1,Olympique Lyon,Strasbourg,Eric Wattellier
2024-05-19T19:00:00Z,34,Lille,Nice,2,2,0,1,0,DRAW,DRAW,Willy Delajod
2024-05-19T19:00:00Z,34,RC Lens,Montpellier,2,2,2,0,0,DRAW,DRAW,Thomas Léonard
2024-05-19T19:00:00Z,34,Stade de Reims,Stade Rennais,2,1,0,0,1,Stade de Reims,Stade Rennais,Mathieu Vernice
